Position,Player Name,Team Name,Rating,Career Best Rating
,,,Rating,
 67 (2) This player has moved up in the rankings since the previous rankings update ,Richard Berrington,SCO,490,"535 v United States, 29/05/2022"
 68 (4) This player has moved down in the rankings since the previous rankings update ,Dasun Shanaka,SL,489,"506 v India, 10/01/2023"
 69 (1) This player has moved up in the rankings since the previous rankings update ,Marnus Labuschagne,AUS,489,"532 v India, 29/11/2020"
 70 (2) This player has moved down in the rankings since the previous rankings update ,Kusal Perera,SL,486,"582 v England, 29/06/2021"
 71 (2) This player has moved up in the rankings since the previous rankings update ,Vriitya Aravind,UAE,482,"491 v Nepal, 16/11/2022"
 72 (1) This player has moved down in the rankings since the previous rankings update ,Danushka Gunathilaka,SL,480,"554 v Bangladesh, 28/05/2021"
 73 (1) This player has moved down in the rankings since the previous rankings update ,Angelo Mathews,SL,478,"707 v England, 07/12/2014"
 74 (0) ,Imad Wasim,PAK,474,"556 v Bangladesh, 05/07/2019"
 75 (0) ,Finn Allen,NZ,472,"500 v Pakistan, 09/01/2023"
 76 (2) This player has moved up in the rankings since the previous rankings update ,Mitchell Santner,NZ,472,"502 v England, 10/03/2018"
 77 (2) This player has moved up in the rankings since the previous rankings update ,Tom Cooper,NED,471,"575 v West Indies, 28/02/2011"
 78 (2) This player has moved up in the rankings since the previous rankings update ,Steven Taylor,USA,468,"470 v Papua New Guinea, 25/11/2022"
 79 (2) This player has moved up in the rankings since the previous rankings update ,Marcus Stoinis,AUS,468,"616 v England, 28/01/2018"
 80 (2) This player has moved up in the rankings since the previous rankings update ,Temba Bavuma,SA,468,"530 v India, 21/01/2022"
 81 (5) This player has moved down in the rankings since the previous rankings update ,Hardik Pandya,IND,467,"561 v England, 28/03/2021"
 82 (5) This player has moved down in the rankings since the previous rankings update ,Dhananjaya de Silva,SL,467,"485 v Australia, 21/06/2022"
 83 (0) ,Evin Lewis,WI,466,"567 v Sri Lanka, 12/03/2021"
 84 (0) ,R.K. Paudel,NEP,465,"478 v Oman, 14/06/2022"
 85 (0) ,Soumya Sarkar,BAN,462,"671 v South Africa, 15/07/2015"
 86 (1) This player has moved up in the rankings since the previous rankings update ,Mitchell Marsh,AUS,455,"641 v New Zealand, 06/12/2016"
 87 (1) This player has moved up in the rankings since the previous rankings update ,Sarfaraz Ahmed,PAK,454,"581 v West Indies, 05/10/2016"
 88 (1) This player has moved up in the rankings since the previous rankings update ,Shamarh Brooks,WI,452,"479 v New Zealand, 17/08/2022"
 89 (3) This player has moved down in the rankings since the previous rankings update ,Pathum Nissanka,SL,451,"460 v India, 10/01/2023"
 90 (0) ,Mehedi Hasan,BAN,451,"462 v India, 07/12/2022"
 91 (1) This player has moved up in the rankings since the previous rankings update ,Michael Leask,SCO,444,"448 v Nepal, 04/12/2022"
 92 (1) This player has moved up in the rankings since the previous rankings update ,Max O'Dowd,NED,443,"494 v England, 17/06/2022"
 93 (1) This player has moved up in the rankings since the previous rankings update ,Jimmy Neesham,NZ,443,"549 v Pakistan, 26/06/2019"
 94 (1) This player has moved up in the rankings since the previous rankings update ,Craig Ervine,ZIM,442,"524 v Afghanistan, 18/10/2015"
 95 (4) This player has moved down in the rankings since the previous rankings update ,Rishabh Pant,IND,441,"521 v England, 17/07/2022"
 96 (1) This player has moved up in the rankings since the previous rankings update ,Philip Salt,ENG,438,"442 v Australia, 19/11/2022"
 97 (1) This player has moved down in the rankings since the previous rankings update ,Niroshan Dickwella,SL,438,"518 v Bangladesh, 28/05/2021"
 98 (0) ,Dawid Malan,ENG,434,"491 v Australia, 17/11/2022"
 99 (0) ,Gajanand Singh,USA,433,"433 v Namibia, 26/11/2022"
 100 This player has moved up in the rankings since the previous rankings update ,Afif Hossain,BAN,432,"459 v Zimbabwe, 10/08/2022"
